Datum,BW,BY,BE,BB,HB,HH,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH,Gesamt
Usbekistan,–,–,–,–,–,,–,–,–,–,–,2,4,5,8,10,10
,,,,,,,,,,,,,,,,,
Armenien,–,–,–,–,–,,–,–,–,–,–,4,14,20,29,39,45
Aserbaidschan,–,–,–,–,–,,–,–,–,1,4,5,11,19,21,25,32
Bahrain,–,–,–,–,–,,–,–,1,2,4,4,6,7,8,8,8
Georgien,–,–,–,–,–,,–,–,–,–,–,2,3,4,6,9,10
Iran,–,–,–,–,–,,54,194,853,1.685,2.757,3.603,4.474,5.118,5.710,6.203,6.640
Irak,–,–,–,–,–,,–,6,9,20,46,61,76,82,87,95,109
Israel,–,–,–,–,–,,–,–,–,1,17,46,103,171,199,227,254
Jemen,–,–,–,–,–,,–,–,–,–,–,–,–,–,–,2,9
Jordanien,–,–,–,–,–,,–,–,–,–,–,5,7,7,7,9,9
Libanon,–,–,–,–,–,,–,–,3,4,11,18,20,21,24,25,26
Katar,–,–,–,–,–,,–,–,–,–,–,4,7,8,10,12,14
Kuwait,–,–,–,–,–,,–,–,–,–,–,1,1,7,20,38,58
Oman,–,–,–,–,–,,–,–,–,–,–,2,4,7,10,12,17
Palstina,–,–,–,–,–,,–,–,–,–,1,1,2,2,2,2,4
SaudiArabien,–,–,–,–,–,,–,–,–,–,8,34,59,97,139,184,246
Syrien,–,–,–,–,–,,–,–,–,–,–,2,2,3,3,3,3
Trkei,–,–,–,–,–,,–,–,–,30,168,574,1.198,2.017,2.805,3.397,3.786
VereinigteArabischeEmirate,–,–,–,–,–,,–,–,–,2,5,10,22,41,76,126,198
,,,,,,,,,,,,,,,,,
Australien,–,–,–,–,–,,1,3,5,7,18,36,61,70,83,95,97
Guam,–,–,–,–,–,,–,–,–,1,4,5,5,5,5,5,5
Neuseeland,–,–,–,–,–,,–,–,–,–,–,1,5,12,19,20,21
NrdlicheMarianen,–,–,–,–,–,,–,–,–,–,–,–,2,2,2,2,2
,,,,,,,,,,,,,,,,,
Jungferna,–,–,–,–,–,,–,–,–,–,–,–,1,3,3,4,4
Argentinien,–,–,–,–,–,,–,1,2,4,20,44,82,132,179,241,300
Aruba,–,–,–,–,–,,–,–,–,–,–,–,–,2,2,2,3
AntiguaundBarbuda,–,–,–,–,–,,–,–,–,–,–,–,2,3,3,3,3
Bahamas,–,–,–,–,–,,–,–,–,–,–,4,8,9,11,11,11
Barbados,–,–,–,–,–,,–,–,–,–,–,–,4,5,6,7,7
Belize,–,–,–,–,–,,–,–,–,–,–,–,2,2,2,2,2
Bermuda,–,–,–,–,–,,–,–,–,–,–,*,4,5,5,7,7
Bolivien,–,–,–,–,–,,–,–,–,–,–,10,24,32,46,71,114
Brasilien,–,–,–,–,–,,–,–,–,–,–,432,1.124,2.347,4.016,6.750,10.627
Jungferb,–,–,–,–,–,,–,–,–,–,–,–,–,1,1,1,1
CaymanIslands,–,–,–,–,–,,–,–,–,1,1,1,1,1,1,1,1
Chile,–,–,–,–,–,,–,–,–,1,8,34,80,133,189,260,312
CostaRica,–,–,–,–,–,,–,–,–,–,–,2,3,4,6,6,6
Curaao,–,–,–,–,–,,–,–,–,1,1,1,1,1,1,1,1
DominikanischeRepublik,–,–,–,–,–,,–,–,–,2,42,68,173,226,278,333,388
Ecuador,–,–,–,–,–,,–,–,2,7,60,172,333,474,576,1.564,2.127
ElSalvador,–,–,–,–,–,,–,–,–,–,–,3,6,7,8,11,17
Guayanaf,–,–,–,–,–,,–,–,–,–,–,–,–,–,1,1,1
Guadeloupe,–,–,–,–,–,,–,–,–,–,–,7,8,11,13,12,13
Guatemala,–,–,–,–,–,,–,–,–,1,1,3,3,7,15,19,24
Guyana,–,–,–,–,–,,–,–,–,1,1,4,6,7,8,9,10
Haiti,–,–,–,,–,,–,–,–,–,–,–,2,3,6,8,12
Honduras,–,–,–,–,–,,–,–,–,–,–,22,25,46,59,76,108
Jamaika,–,–,–,–,–,,–,–,–,1,1,3,4,5,7,8,9
Kanada,–,–,–,–,–,,–,–,1,19,66,231,674,1.506,2.489,3.681,4.728
Kolumbien,–,–,–,–,–,,–,–,–,2,10,32,100,166,233,324,445
Kuba,–,–,–,–,–,,–,–,–,1,4,8,18,34,54,67,77
Martinique,–,–,–,–,–,,–,–,–,–,2,3,6,12,14,14,14
Mexiko,–,–,–,–,–,,–,–,–,2,20,79,273,650,1.305,2.061,3.353
Montserrat,–,–,–,–,–,,–,–,–,–,–,–,–,1,1,1,1
Nicaragua,–,–,–,–,–,,–,–,–,–,–,1,1,1,3,4,5
Panama,–,–,–,–,–,,–,–,1,3,3,46,79,120,159,197,237
Paraguay,–,–,–,–,–,,–,–,–,1,6,6,6,8,9,10,10
Peru,–,–,–,–,–,,–,–,–,–,–,73,181,348,700,1.200,1.814
PuertoRico,–,–,–,–,–,,–,–,–,1,3,18,44,62[!],53,97,111
SaintMartin,–,–,–,–,–,,–,–,–,–,–,2,2,2,3,3,3
SintMaarten,–,–,–,–,–,,–,–,–,–,–,2,9,9,13,13,15
Suriname,–,–,–,–,–,,–,–,–,–,–,–,1,1,1,1,1
